"ID_ORIENTACAO";"SECAO";"ORDEM";"TITULO";"CONTEUDO"
2;WORKFLOW;2;Consulte o glossário;Consulte META_GLOSSARIO para relacionar os termos e sinônimos usados pelo usuário aos conceitos, indicadores, objetos e colunas oficiais da camada semântica.
3;WORKFLOW;3;Procure uma consulta de negócio;Consulte META_CONSULTA_NEGOCIO para verificar se existe uma pergunta semelhante já documentada. Quando existir, utilize o SQL de referência e respeite os parâmetros, observações e objetos-chave cadastrados.
4;WORKFLOW;4;Identifique os objetos adequados;Consulte META_OBJETO para localizar as views governadas e ativas compatíveis com o domínio, o tipo de análise e o grão solicitado.
5;WORKFLOW;5;Consulte a definição da métrica;Consulte META_METRICA antes de calcular qualquer indicador. Respeite a fórmula SQL, o tipo de aditividade, a data de referência, os filtros obrigatórios, as dimensões permitidas e a unidade de medida.
6;WORKFLOW;6;Monte apenas relacionamentos documentados;Quando a consulta exigir mais de uma view, consulte META_RELACIONAMENTO e utilize somente os caminhos de JOIN documentados. Não deduza relacionamentos apenas pela semelhança entre nomes de colunas.
7;WORKFLOW;7;Valide os valores de filtro;Consulte META_VALOR_DOMINIO antes de aplicar filtros sobre colunas categóricas. Utilize os valores exatos e ativos cadastrados para o objeto e a coluna correspondente.
8;WORKFLOW;8;Valide todas as regras aplicáveis;Consulte META_REGRA_NEGOCIO e avalie todas as regras aplicáveis aos objetos e métricas utilizados. Reescreva o SQL quando houver violação de uma regra CRITICA.
9;PRINCIPIO;1;Use somente objetos oficiais;Utilize somente objetos registrados como governados e ativos na META_OBJETO. Nunca utilize objetos cujo nome termine em _BKP.
10;PRINCIPIO;2;Priorize as views KPI;Para consultas agregadas por mês, priorize as views VW_SEI_KPI_%. Utilize as views VW_SEI_EVENTO_% para detalhamento, auditoria, contagens distintas ou recálculo de métricas não aditivas.
11;PRINCIPIO;3;Respeite o grão dos objetos;Verifique o grão registrado na META_OBJETO antes de agregar dados. As views de evento mantêm o grão das respectivas fatos e podem conter mais de uma linha para a mesma entidade de negócio.
12;PRINCIPIO;4;Use as medidas de quantidade;Utilize SUM dos campos QTD_* quando a medida estiver disponível e for compatível com a métrica. Utilize COUNT DISTINCT somente quando for necessário contar entidades únicas ou eliminar duplicidades decorrentes do grão.
13;PRINCIPIO;5;Trate o registro desconhecido;O valor de chave -1 representa registro desconhecido, não identificado ou não aplicável. Exclua-o das contagens de entidades identificadas, mas preserve-o quando for necessário reconciliar as medidas com os totais físicos.
14;PRINCIPIO;6;Respeite a aditividade;Não some percentuais, taxas, médias, medianas, contagens distintas ou outras métricas não aditivas. Recalcule essas métricas no contexto solicitado utilizando seus componentes ou os registros detalhados.
15;PRINCIPIO;7;Diferencie cadastro vigente de histórico;As views VW_SEI_DIM_%_ATUAL representam o cadastro vigente. Não interprete seus registros como uma fotografia histórica do mês analisado e não some a mesma população cadastral entre meses.
16;VALIDACAO;1;Valide período e data de referência;Confirme se o filtro temporal utiliza a data de referência indicada na META_METRICA. Em análises mensais, normalize a competência para o primeiro dia do mês.
17;VALIDACAO;2;Valide filtros obrigatórios;Antes de executar a consulta, confirme que todos os filtros obrigatórios da métrica foram aplicados e que os valores categóricos correspondem aos valores ativos da META_VALOR_DOMINIO.
18;VALIDACAO;3;Valide agregações;Confirme que as dimensões de agrupamento são permitidas para a métrica e que percentuais, médias, medianas, saldos e contagens distintas foram recalculados corretamente.
19;VALIDACAO;4;Valide os relacionamentos;Confirme que todos os JOINs existem na META_RELACIONAMENTO. Utilize LEFT JOIN quando essa for a recomendação cadastrada e preserve o lado de origem do relacionamento.
20;VALIDACAO;5;Valide regras provisórias e pendentes;Quando a resposta depender de regra PROVISORIA ou PENDENTE, informe claramente a limitação. Não apresente como homologado um conceito que ainda depende de validação funcional.
21;DESVIO;1;Pergunta fora do escopo;Quando a pergunta não puder ser respondida pelos objetos governados, informe objetivamente a limitação e indique quais informações relacionadas estão disponíveis na camada semântica.
22;DESVIO;2;Pergunta ambígua;Quando a pergunta permitir interpretações com métricas, períodos ou entidades diferentes, apresente a interpretação adotada ou solicite apenas a informação indispensável para eliminar a ambiguidade.
23;DESVIO;3;Informação ainda não homologada;Quando a resposta depender de definição pendente, não invente regras nem valores. Informe que a definição necessita de homologação e apresente somente os resultados que possam ser calculados com as regras vigentes.
24;RESPOSTA;1;Apresente o resultado com contexto;Informe o resultado, o período analisado, a unidade de medida, o nível de agregação e os filtros relevantes utilizados.
25;RESPOSTA;2;Informe as fontes utilizadas;Identifique as views da camada semântica utilizadas na consulta e, quando aplicável, a métrica ou a consulta de negócio que serviu como referência.
26;RESPOSTA;3;Apresente ressalvas relevantes;Informe limitações que possam alterar a interpretação, como uso de cadastro vigente, indicador provisório, ausência de snapshot histórico, métrica estimada ou regra pendente de homologação.
27;RESPOSTA;4;Mostre o SQL quando solicitado;Quando o usuário solicitar o SQL, apresente a consulta final com os parâmetros claramente identificados e indique, quando aplicável, o ID_CONSULTA da META_CONSULTA_NEGOCIO utilizada como referência.
